"LIU, Ailing",China
"SCHUMANN, Ralf",Germany
"SOROKIN, Vitali",Soviet Union
"PRODOUNOVA, Elena",Russia
"TODOROV, Mitko",Bulgaria
"SHESHENINA, Marina",Russia
"COX, Lionel",Australia
"CHARLES, Cornelius",India
"MANEYPANDA, Somaya",India
"VERANES, Sibelis",Cuba
"KIM, Ki-Tae","Korea, South"
"ELLER, Glenn",United States
"VAN KOEVERDEN, Adam",Canada
"BARTON, Gregory Mark",United States
"PIETZSCH, Eckehard",German Democratic Republic
"VERSTRAETEN, Joseph",Belgium
"TROJANOVIC, Mate",Yugoslavia
"SCHRAMM, Beate",German Democratic Republic
"SCHMIDTKE, Fredy",West Germany
"CHANG, Eun-Kyung","Korea, South"
"SAKER, Frank Warren",Canada
"LITTLE, Harold",Canada
"JURAVSCHI, Nikolai",Soviet Union
"VAKHONIN, Aleksei",Soviet Union
"KOZIEJOWSKI, Lech",Poland
"KLICHKO, Vladimir",Ukraine
"HILL, Albert Edwin",United Kingdom
"SHERIDAN, Martin",United States
"MCKAY, Mike",Australia
"JARDIN, Anne Elizabeth",Canada
"DAUBENSPECK, Philip Burton",United States
"SZABADOS, LÍszlÍ_",Hungary
"VIDOVIC, Albin",Yugoslavia
"LOPATOV, Andrei",Soviet Union
"BRONDELLO, Sandra",Australia
"OLSON, Oscar G.",United States
"HAGEN, Harald",Norway
"WILLIAMS, Todd",United States
"IRONS, Francis C.",United States
"MILLS, Melissa",Australia
"FLAMENG, LÍŠon",France
"SARGEANT, James Fred Robert",Australia
"HUNT, James Hawley",United States
"MEMIC, Muhamed",Yugoslavia
"SERLENGA, Nikki",United States
"ONASHVILI, Givi",Soviet Union
"HUET BOBADILLA, Gustavo",Mexico
"PRETTY, Donald Wayne",Canada
"JACOMINI, Virgil Victor",United States
"HAPPENNY, William",Canada
"STRUPPERT, BÍ_rbel",German Democratic Republic
"CHAMBERLAIN, Ann Marise",New Zealand
"GOULD, Kenneth",United States
"CHERNYSHOVA, Nadezhda",Soviet Union
"CRAWFORD, Yunaika",Cuba
"REGGIO, Giovanni Leone",Italy
"O'CONNOR, William Scott",United States
"MCEVOY, A.",France
"REDFORD, Marie E.",South Africa
"LIU, Yu-Mei",China
